"ID","Dye","YC","DIC","ET","Decol","OD600","replica_id"
"071123","DB",1,0.4,36,50.7370054305663,NA,3
"071123","DB",1,0.4,44,48.3579001810189,NA,3
"071123","DB",1,0.4,52,53.5815877941557,NA,3
"140124","DB",1,0.6,0,0,NA,1
"140124","DB",1,0.6,4,0,NA,1
"140124","DB",1,0.6,8,5.53745928338763,NA,1
"140124","DB",1,0.6,12,28.9902280130293,NA,1
"140124","DB",1,0.6,16,29.6416938110749,NA,1
"140124","DB",1,0.6,20,40.3908794788274,NA,1
"140124","DB",1,0.6,24,44.9511400651466,NA,1
"140124","DB",1,0.6,28,52.442996742671,NA,1
"140124","DB",1,0.6,32,50.1628664495114,NA,1
"140124","DB",1,0.6,36,54.7231270358306,NA,1
"140124","DB",1,0.6,40,55.0488599348534,NA,1
"140124","DB",1,0.6,44,53.0944625407166,NA,1
"140124","DB",1,0.6,48,57.328990228013,NA,1
"140124","DB",1,0.6,0,0,NA,2
"140124","DB",1,0.6,4,2.27272727272727,NA,2
"140124","DB",1,0.6,8,8.76623376623377,NA,2
"140124","DB",1,0.6,12,24.6753246753247,NA,2
"140124","DB",1,0.6,16,30.5194805194805,NA,2
"140124","DB",1,0.6,20,44.4805194805195,NA,2
"140124","DB",1,0.6,24,46.7532467532468,NA,2
"140124","DB",1,0.6,28,54.5454545454545,NA,2
"140124","DB",1,0.6,32,52.9220779220779,NA,2
"140124","DB",1,0.6,36,56.8181818181818,NA,2
"140124","DB",1,0.6,40,58.7662337662338,NA,2
"140124","DB",1,0.6,44,56.8181818181818,NA,2
"140124","DB",1,0.6,48,60.0649350649351,NA,2
"140124","DB",1,0.6,0,0,NA,3
"140124","DB",1,0.6,4,0,NA,3
"140124","DB",1,0.6,8,5.5921052631579,NA,3
"140124","DB",1,0.6,12,22.3684210526316,NA,3
"140124","DB",1,0.6,16,27.3026315789474,NA,3
"140124","DB",1,0.6,20,39.1447368421053,NA,3
"140124","DB",1,0.6,24,50.3289473684211,NA,3
"140124","DB",1,0.6,28,51.3157894736842,NA,3
"140124","DB",1,0.6,32,48.0263157894737,NA,3
"140124","DB",1,0.6,36,54.6052631578947,NA,3
"140124","DB",1,0.6,40,56.5789473684211,NA,3
"140124","DB",1,0.6,44,53.6184210526316,NA,3
