gene	condition	replicate	Ct	ng_10uL	ng_per_uL	nM	pM	molecules_in_tube	molecules_per_cell_est	MW_amplicon_Da	module	locus
mtrF	AD	1	29.14982605	1.962925e-03	1.962925e-04	3.965505e-03	3.965505e+00	2.388027e+07	2.388027e+01	49500	EET	EJGNCN_02980
mtrF	AD	2	29.14051437	1.974596e-03	1.974596e-04	3.989083e-03	3.989083e+00	2.402226e+07	2.402226e+01	49500	EET	EJGNCN_02980
mtrF	AD	3	28.94019127	2.243185e-03	2.243185e-04	4.531686e-03	4.531686e+00	2.728982e+07	2.728982e+01	49500	EET	EJGNCN_02980
AzoR	ZZ	1	30.79345322	3.527568e-04	3.527568e-05	7.126401e-04	7.126401e-01	4.291519e+06	4.291519e+00	49500	azorreduccion	EJGNCN_00387
AzoR	ZZ	2	30.94610596	3.199763e-04	3.199763e-05	6.464167e-04	6.464167e-01	3.892722e+06	3.892722e+00	49500	azorreduccion	EJGNCN_00387
AzoR	ZZ	3	31.06994438	2.956347e-04	2.956347e-05	5.972419e-04	5.972419e-01	3.596591e+06	3.596591e+00	49500	azorreduccion	EJGNCN_00387
AzoR	MO	1	23.38307381	4.015010e-02	4.015010e-03	8.111131e-02	8.111131e+01	4.884523e+08	4.884523e+02	49500	azorreduccion	EJGNCN_00387
AzoR	MO	2	23.3305378	4.152065e-02	4.152065e-03	8.388010e-02	8.388010e+01	5.051260e+08	5.051260e+02	49500	azorreduccion	EJGNCN_00387
AzoR	MO	3	23.6838398	3.313072e-02	3.313072e-03	6.693075e-02	6.693075e+01	4.030570e+08	4.030570e+02	49500	azorreduccion	EJGNCN_00387
AzoR	CR	1	23.57280922	3.556636e-02	3.556636e-03	7.185122e-02	7.185122e+01	4.326881e+08	4.326881e+02	49500	azorreduccion	EJGNCN_00387
AzoR	CR	2	23.67460251	3.332683e-02	3.332683e-03	6.732694e-02	6.732694e+01	4.054428e+08	4.054428e+02	49500	azorreduccion	EJGNCN_00387
AzoR	CR	3	23.63389397	3.420501e-02	3.420501e-03	6.910103e-02	6.910103e+01	4.161264e+08	4.161264e+02	49500	azorreduccion	EJGNCN_00387
AzoR	AD	1	21.93929863	1.009953e-01	1.009953e-02	2.040310e-01	2.040310e+02	1.228674e+09	1.228674e+03	49500	azorreduccion	EJGNCN_00387
AzoR	AD	2	21.59845924	1.255673e-01	1.255673e-02	2.536712e-01	2.536712e+02	1.527608e+09	1.527608e+03	49500	azorreduccion	EJGNCN_00387
AzoR	AD	3	21.55475998	1.291225e-01	1.291225e-02	2.608536e-01	2.608536e+02	1.570860e+09	1.570860e+03	49500	azorreduccion	EJGNCN_00387
CymA	ZZ	1	29.93701553	4.032205e-04	4.032205e-05	8.145869e-04	8.145869e-01	4.905443e+06	4.905443e+00	49500	EET_periplasmica	EJGNCN_04474
CymA	ZZ	2	32.73287201	6.641709e-05	6.641709e-06	1.341759e-04	1.341759e-01	8.080076e+05	8.080076e-01	49500	EET_periplasmica	EJGNCN_04474
CymA	ZZ	3	32.75870514	6.531947e-05	6.531947e-06	1.319585e-04	1.319585e-01	7.946543e+05	7.946543e-01	49500	EET_periplasmica	EJGNCN_04474
CymA	MO	1	32.08303833	1.010024e-04	1.010024e-05	2.040452e-04	2.040452e-01	1.228760e+06	1.228760e+00	49500	EET_periplasmica	EJGNCN_04474
CymA	MO	2	32.44342041	8.005162e-05	8.005162e-06	1.617204e-04	1.617204e-01	9.738805e+05	9.738805e-01	49500	EET_periplasmica	EJGNCN_04474
CymA	MO	3	32.4828949	7.803892e-05	7.803892e-06	1.576544e-04	1.576544e-01	9.493948e+05	9.493948e-01	49500	EET_periplasmica	EJGNCN_04474
CymA	CR	1	29.46589279	5.464221e-04	5.464221e-05	1.103883e-03	1.103883e+00	6.647584e+06	6.647584e+00	49500	EET_periplasmica	EJGNCN_04474
CymA	CR	2	28.4632473	1.043328e-03	1.043328e-04	2.107733e-03	2.107733e+00	1.269277e+07	1.269277e+01	49500	EET_periplasmica	EJGNCN_04474
CymA	CR	3	28.949049	7.626455e-04	7.626455e-05	1.540698e-03	1.540698e+00	9.278084e+06	9.278084e+00	49500	EET_periplasmica	EJGNCN_04474
CymA	AD	1	29.11974716	6.831270e-04	6.831270e-05	1.380054e-03	1.380054e+00	8.310688e+06	8.310688e+00	49500	EET_periplasmica	EJGNCN_04474
CymA	AD	2	29.31265068	6.031971e-04	6.031971e-05	1.218580e-03	1.218580e+00	7.338289e+06	7.338289e+00	49500	EET_periplasmica	EJGNCN_04474
CymA	AD	3	29.2449131	6.301385e-04	6.301385e-05	1.273007e-03	1.273007e+00	7.666049e+06	7.666049e+00	49500	EET_periplasmica	EJGNCN_04474
YhhW	ZZ	1	31.32217598	1.548141e-04	1.548141e-05	3.127558e-04	3.127558e-01	1.883415e+06	1.883415e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	ZZ	2	31.98658562	1.012800e-04	1.012800e-05	2.046060e-04	2.046060e-01	1.232138e+06	1.232138e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	ZZ	3	31.63019371	1.271674e-04	1.271674e-05	2.569039e-04	2.569039e-01	1.547075e+06	1.547075e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	MO	1	31.72862244	1.194194e-04	1.194194e-05	2.412512e-04	2.412512e-01	1.452815e+06	1.452815e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	MO	2	31.52985954	1.355831e-04	1.355831e-05	2.739052e-04	2.739052e-01	1.649457e+06	1.649457e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	MO	3	32.02193832	9.901885e-05	9.901885e-06	2.000381e-04	2.000381e-01	1.204629e+06	1.204629e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	CR	1	29.93777275	3.748018e-04	3.748018e-05	7.571754e-04	7.571754e-01	4.559710e+06	4.559710e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	CR	2	29.91601753	3.800458e-04	3.800458e-05	7.677693e-04	7.677693e-01	4.623507e+06	4.623507e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	CR	3	29.75493431	4.212263e-04	4.212263e-05	8.509622e-04	8.509622e-01	5.124495e+06	5.124495e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	AD	1	29.96141434	3.691852e-04	3.691852e-05	7.458286e-04	7.458286e-01	4.491380e+06	4.491380e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	AD	2	29.90271187	3.832891e-04	3.832891e-05	7.743215e-04	7.743215e-01	4.662964e+06	4.662964e+00	49500	degradacion_aromatica	EJGNCN_02850
YhhW	AD	3	29.92632294	3.775526e-04	3.775526e-05	7.627326e-04	7.627326e-01	4.593176e+06	4.593176e+00	49500	degradacion_aromatica	EJGNCN_02850
